x,y,column
925,29,1
906,29,0
841,29,1
756,29,1
676,29,1
591,29,1
509,29,1
426,29,1
342,29,1
509,50,0
426,50,0
756,68,0
676,68,0
591,68,0
676,94,0
591,94,0
925,114,1
906,114,0
841,114,1
756,114,1
676,114,1
591,114,1
509,114,1
426,114,1
404,114,0
359,114,0
342,114,1
426,139,0
404,139,0
359,139,0
342,139,0
925,139,0
841,139,0
426,165,0
404,165,0
359,165,0
342,165,0
925,197,1
841,197,1
756,197,1
676,197,1
591,197,1
509,197,1
426,197,1
404,197,0
359,197,0
342,197,1
509,279,1
426,279,1
342,279,1
925,279,1
841,279,1
756,279,1
509,363,1
426,363,1
342,363,1
925,363,1
841,363,1
756,363,1
925,401,0
906,401,0
863,401,0
841,401,0
426,416,0
378,416,0
342,416,0
404,445,0
378,445,0
342,445,1
925,445,1
906,445,0
863,445,0
841,445,1
756,445,1
676,445,1
591,445,1
509,445,1
426,445,1
925,504,0
906,504,0
863,504,0
841,504,0
925,528,1
906,528,0
863,528,0
841,528,1
756,528,1
676,528,1
591,528,1
509,528,1
426,528,1
404,528,0
378,528,0
342,528,1
925,613,1
841,613,1
756,613,1
676,613,1
591,613,1
509,613,1
426,613,1
342,613,1
