Source,Target
0,3
0,8
1,2
1,14
2,3
2,18
3,6
4,5
4,12
5,13
6,7
6,19
7,8
7,22
8,9
8,23
9,10
9,15
10,11
10,16
11,21
12,13
12,24
13,14
13,26
14,17
15,16
15,27
16,20
17,18
17,30
18,19
19,31
20,21
20,29
21,41
22,23
22,32
23,33
24,25
24,35
25,26
25,36
26,37
27,28
27,34
28,29
28,39
29,40
30,31
30,44
31,32
31,46
32,33
33,34
33,49
34,38
35,36
35,53
36,37
37,54
38,39
38,60
39,40
40,41
41,42
41,61
42,43
43,62
44,45
44,55
45,46
45,58
46,47
46,50
47,48
47,51
48,49
48,52
49,59
50,51
50,63
51,52
52,64
53,54
53,65
54,55
54,56
55,57
56,57
56,66
57,58
57,67
58,68
59,60
59,85
60,61
60,76
61,62
61,79
62,81
63,64
63,70
64,72
65,66
65,73
66,67
66,74
67,68
67,75
68,87
69,70
69,88
70,71
70,82
71,72
71,83
72,84
73,74
73,94
74,75
74,96
75,86
76,77
76,93
77,78
77,98
78,79
78,99
79,80
79,101
80,81
82,83
82,88
82,90
83,84
84,85
85,92
86,87
86,89
87,88
89,90
89,109
90,91
90,111
91,92
91,102
92,93
92,103
93,97
94,95
94,104
95,96
95,105
96,106
97,98
97,107
98,99
99,100
100,101
100,108
101,117
102,103
102,113
103,114
104,105
104,118
105,106
106,119
107,108
107,115
108,116
109,110
109,120
110,111
110,123
111,112
112,113
112,124
113,114
114,115
114,121
115,116
116,117
118,119
119,120
120,122
121,124
122,123
123,124
