x,y,column
579,31,0
473,31,0
733,31,0
635,31,0
892,72,1
782,72,1
733,72,0
635,72,0
579,72,1
473,72,0
372,72,1
782,145,0
733,145,0
940,183,0
892,183,1
782,183,1
733,183,0
688,183,0
635,183,0
579,183,1
512,183,0
473,183,0
372,183,1
635,231,0
579,231,0
512,231,0
733,266,0
688,266,0
635,266,0
940,300,0
892,300,1
819,300,1
782,300,1
733,300,0
710,300,0
688,300,0
635,300,1
579,300,1
560,300,1
512,300,1
710,334,0
560,334,0
940,378,0
892,378,1
819,378,1
782,378,1
710,378,0
688,378,0
560,378,1
512,378,1
512,410,1
372,410,1
688,448,0
616,448,0
560,448,0
940,504,0
892,504,1
782,504,1
733,504,0
688,504,0
616,504,0
560,504,1
782,546,0
733,546,0
892,606,1
782,606,1
733,606,0
616,606,0
560,606,1
