Source,Target
0,1
0,19
1,2
1,8
2,3
2,9
3,4
3,14
4,5
4,15
5,16
6,7
6,17
7,12
8,9
8,20
9,42
10,11
10,22
11,18
12,13
12,25
13,26
14,15
14,27
15,16
15,28
16,17
16,34
17,23
18,19
18,32
19,20
19,46
20,41
21,22
21,29
22,30
23,24
23,36
24,25
24,37
25,26
26,63
27,28
27,38
28,40
29,30
29,64
30,31
31,32
31,43
32,44
33,34
33,60
34,35
35,36
35,53
36,37
37,54
38,39
38,50
39,40
39,51
40,52
41,42
41,48
42,49
43,44
43,55
44,45
45,46
45,56
46,47
47,68
48,49
48,69
49,50
50,51
51,52
52,58
53,54
53,61
54,62
55,56
55,65
56,66
57,58
57,70
57,75
58,59
59,60
59,76
60,61
60,77
61,62
62,63
64,65
65,66
65,71
66,67
67,68
67,72
68,69
68,73
69,70
70,74
71,72
71,82
72,73
72,89
73,74
73,90
74,75
74,96
75,76
75,83
76,77
76,84
77,78
78,79
79,80
79,86
80,91
81,82
81,92
82,87
83,84
83,97
84,85
85,86
85,98
87,88
88,89
88,94
89,90
90,95
91,99
92,93
93,94
94,95
95,96
95,100
96,97
96,101
97,98
97,102
98,99
100,101
101,102
